file,a,t1,t2,annotation,tier,tier_type,participant,annotator,ref,parent_tier,start,end,duration
file_002,a2911,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a659,gloss_RH_S2,NA,NA,NA
file_002,a2912,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a661,gloss_RH_S2,NA,NA,NA
file_002,a2913,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a662,gloss_RH_S2,NA,NA,NA
file_002,a2914,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a663,gloss_RH_S2,NA,NA,NA
file_002,a2915,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a664,gloss_RH_S2,NA,NA,NA
file_002,a2916,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a665,gloss_RH_S2,NA,NA,NA
file_002,a2917,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a666,gloss_RH_S2,NA,NA,NA
file_002,a2918,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a667,gloss_RH_S2,NA,NA,NA
file_002,a2919,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a668,gloss_RH_S2,NA,NA,NA
file_002,a2920,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a669,gloss_RH_S2,NA,NA,NA
file_002,a2921,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a670,gloss_RH_S2,NA,NA,NA
file_002,a2922,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a671,gloss_RH_S2,NA,NA,NA
file_002,a2923,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a674,gloss_RH_S2,NA,NA,NA
file_002,a2924,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a675,gloss_RH_S2,NA,NA,NA
file_002,a2925,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a676,gloss_RH_S2,NA,NA,NA
file_002,a2926,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a677,gloss_RH_S2,NA,NA,NA
file_002,a2927,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a678,gloss_RH_S2,NA,NA,NA
file_002,a2928,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a679,gloss_RH_S2,NA,NA,NA
file_002,a2929,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a680,gloss_RH_S2,NA,NA,NA
file_002,a2930,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a681,gloss_RH_S2,NA,NA,NA
file_002,a2931,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a682,gloss_RH_S2,NA,NA,NA
file_002,a2932,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a683,gloss_RH_S2,NA,NA,NA
file_002,a2933,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a684,gloss_RH_S2,NA,NA,NA
file_002,a2934,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a685,gloss_RH_S2,NA,NA,NA
file_002,a2935,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a686,gloss_RH_S2,NA,NA,NA
file_002,a2936,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a687,gloss_RH_S2,NA,NA,NA
file_002,a2937,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a688,gloss_RH_S2,NA,NA,NA
file_002,a2938,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a689,gloss_RH_S2,NA,NA,NA
file_002,a2939,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a690,gloss_RH_S2,NA,NA,NA
file_002,a2940,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a691,gloss_RH_S2,NA,NA,NA
file_002,a2941,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a692,gloss_RH_S2,NA,NA,NA
file_002,a2942,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a693,gloss_RH_S2,NA,NA,NA
file_002,a2943,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a694,gloss_RH_S2,NA,NA,NA
file_002,a2944,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a695,gloss_RH_S2,NA,NA,NA
file_002,a2945,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a696,gloss_RH_S2,NA,NA,NA
